sample,country,type,subtype,mecA,targets,regions,coverage,hits,comment
ERR12511686,Tanzania,V,-,+,"ccrC1,IS431,IS431_1,IS431_2,IS1272,mecA,mecR1",,,,
ERR12511687,Tanzania,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR12511688,Tanzania,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR12511689,Tanzania,V,-,+,"ccrC1,IS431,IS431_1,IS431_2,IS1272,mecA,mecR1",,,,
ERR12511691,Tanzania,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR12511692,Tanzania,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR12511693,Tanzania,IV,IVa,+,"ccrA2,ccrB2,IS431,IS431_1,IS431_2,IS1272,mecA,mecR1",IVa,87.93,41.0,
ERR12511694,Tanzania,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR12511696,Tanzania,V,-,+,"ccrC1,IS431,IS431_1,IS431_2,IS1272,mecA,mecR1",,,,
ERR12511698,Tanzania,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR12511699,Tanzania,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR12511700,Tanzania,V,-,+,"ccrC1,IS431,IS431_1,IS431_2,IS1272,mecA,mecR1",,,,
ERR12511701,Tanzania,V,-,+,"ccrC1,IS431,IS431_1,IS431_2,IS1272,mecA,mecR1",,,,
ERR12511702,Tanzania,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR12511703,Tanzania,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR12511704,Tanzania,V,-,+,"ccrC1,IS431,IS431_1,IS431_2,IS1272,mecA,mecR1",,,,
ERR12511705,Tanzania,V,-,+,"ccrC1,IS431,IS431_1,IS431_2,IS1272,mecA,mecR1",,,,
ERR12511707,Tanzania,V,-,+,"ccrC1,IS431,IS431_1,IS431_2,IS1272,mecA,mecR1",,,,
ERR12511708,Tanzania,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR12511709,Tanzania,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR12511710,Tanzania,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR12511711,Tanzania,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR12511712,Tanzania,V,-,+,"ccrC1,IS431,IS431_1,IS431_2,IS1272,mecA,mecR1",,,,
ERR12511713,Tanzania,-,-,-,IS1272,,,,A type could not be determined based on the target matches or cassette coverage
ERR12511714,Tanzania,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR12511715,Tanzania,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR12511716,Tanzania,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR12511718,Tanzania,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR12511719,Tanzania,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR12511720,Tanzania,-,-,+,"ccrC1,IS1272,mecA,mecR1",,,,A type could not be determined based on the target matches or cassette coverage
ERR12511721,Tanzania,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR12511723,Tanzania,V,-,+,"ccrC1,IS431,IS431_1,IS431_2,IS1272,mecA,mecR1",,,,
ERR12511724,Tanzania,-,-,+,"ccrC1,IS1272,mecA,mecR1",,,,A type could not be determined based on the target matches or cassette coverage
ERR12511725,Tanzania,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR12511726,Tanzania,-,-,+,"ccrC1,IS1272,mecA,mecR1",,,,A type could not be determined based on the target matches or cassette coverage
ERR12511727,Tanzania,V,-,+,"ccrC1,IS431,IS431_1,IS431_2,IS1272,mecA,mecR1",,,,
ERR12511729,Tanzania,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR12511730,Tanzania,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR12511731,Tanzania,-,-,+,"ccrC1,IS1272,mecA,mecR1",,,,A type could not be determined based on the target matches or cassette coverage
ERR12511732,Tanzania,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR12511733,Tanzania,-,-,+,"ccrC1,IS1272,mecA,mecR1",,,,A type could not be determined based on the target matches or cassette coverage
ERR12511734,Tanzania,V,-,+,"ccrC1,IS431,IS431_1,IS431_2,IS1272,mecA,mecR1",,,,
ERR12511736,Tanzania,V,-,+,"ccrC1,IS431,IS431_1,IS431_2,IS1272,mecA,mecR1",,,,
ERR12511738,Tanzania,-,-,+,"ccrC1,IS1272,mecA,mecR1",,,,A type could not be determined based on the target matches or cassette coverage
