Sample_ID,Contig_Count,Genome_Size_bp,GC_Percent,N50,Largest_Contig_bp,L50,Ns_per_100kb,QC_Status,Inclusion_Status
ERR12511686,47.0,2891061.0,32.62,148701.0,291783.0,7.0,0.0,Passed,Included
ERR12511687,30.0,2761922.0,32.67,284138.0,545661.0,4.0,0.0,Passed,Included
ERR12511688,38.0,2748805.0,32.71,143514.0,250944.0,7.0,0.0,Passed,Included
ERR12511689,53.0,2852044.0,32.66,170180.0,542007.0,5.0,0.0,Passed,Included
ERR12511691,43.0,2734037.0,32.65,132953.0,292040.0,7.0,0.0,Passed,Included
ERR12511692,42.0,2733723.0,32.63,109865.0,274258.0,8.0,0.0,Passed,Included
ERR12511693,29.0,2783050.0,32.67,149441.0,599641.0,5.0,0.0,Passed,Included
ERR12511694,52.0,2713822.0,32.66,144865.0,254076.0,8.0,0.0,Passed,Included
ERR12511696,37.0,2911176.0,32.6,202786.0,464614.0,5.0,0.0,Passed,Included
ERR12511698,43.0,2754350.0,32.69,94001.0,286165.0,9.0,0.0,Passed,Included
ERR12511699,43.0,2765550.0,32.71,150043.0,355635.0,6.0,0.0,Passed,Included
ERR12511700,41.0,2882900.0,32.61,253927.0,364817.0,5.0,0.0,Passed,Included
ERR12511701,36.0,2868370.0,32.65,254111.0,364881.0,5.0,0.0,Passed,Included
ERR12511702,61.0,2788732.0,32.76,116010.0,254060.0,8.0,0.0,Passed,Included
ERR12511703,51.0,2749830.0,32.69,89663.0,353218.0,9.0,0.0,Passed,Included
ERR12511704,39.0,2871579.0,32.67,292362.0,364351.0,5.0,0.0,Passed,Included
ERR12511705,44.0,2847573.0,32.6,150071.0,367248.0,7.0,0.0,Passed,Included
ERR12511707,177.0,3055775.0,32.5,89787.0,253882.0,12.0,0.0,Passed,Included
ERR12511708,33.0,2837405.0,32.71,169674.0,308548.0,6.0,0.0,Passed,Included
ERR12511709,42.0,2744049.0,32.7,117115.0,286147.0,7.0,0.0,Passed,Included
ERR12511710,52.0,2799856.0,32.75,103110.0,284950.0,9.0,0.0,Passed,Included
ERR12511711,56.0,2743002.0,32.73,138295.0,449246.0,7.0,0.0,Passed,Included
ERR12511712,31.0,2808076.0,32.64,304632.0,769364.0,3.0,0.0,Passed,Included
ERR12511713,25.0,2699317.0,32.69,274890.0,716488.0,3.0,0.0,Passed,Included
ERR12511714,56.0,2756048.0,32.71,86431.0,254019.0,10.0,0.0,Passed,Included
ERR12511715,43.0,2713769.0,32.66,167383.0,387074.0,6.0,0.0,Passed,Included
ERR12511716,31.0,2725574.0,32.67,145555.0,466180.0,5.0,0.0,Passed,Included
ERR12511718,55.0,2753384.0,32.7,86431.0,235383.0,11.0,0.0,Passed,Included
ERR12511719,45.0,2715800.0,32.66,109904.0,254115.0,8.0,0.0,Passed,Included
ERR12511720,57.0,2895846.0,32.63,133406.0,231446.0,9.0,0.0,Passed,Included
ERR12511721,29.0,2712321.0,32.69,182982.0,319705.0,6.0,0.0,Passed,Included
ERR12511723,49.0,2865093.0,32.58,202789.0,436124.0,5.0,0.0,Passed,Included
ERR12511724,75.0,2869483.0,32.59,72335.0,248144.0,11.0,0.0,Passed,Included
ERR12511725,65.0,2801499.0,32.69,132212.0,286206.0,8.0,0.0,Passed,Included
ERR12511726,38.0,2829103.0,32.63,148685.0,768125.0,5.0,0.0,Passed,Included
ERR12511727,45.0,2822965.0,32.62,146311.0,305678.0,7.0,0.0,Passed,Included
ERR12511729,36.0,2754464.0,32.69,167460.0,336850.0,6.0,0.0,Passed,Included
ERR12511730,50.0,2754289.0,32.71,103170.0,286141.0,9.0,0.0,Passed,Included
ERR12511731,51.0,2886843.0,32.62,164564.0,339191.0,6.0,0.0,Passed,Included
ERR12511732,39.0,2708505.0,32.7,148884.0,337236.0,7.0,0.0,Passed,Included
ERR12511733,39.0,2825814.0,32.64,180543.0,598636.0,4.0,0.0,Passed,Included
ERR12511734,44.0,2897254.0,32.62,326570.0,574792.0,4.0,0.0,Passed,Included
ERR12511736,53.0,2842041.0,32.59,150785.0,502579.0,5.0,0.0,Passed,Included
ERR12511738,49.0,2865816.0,32.57,148108.0,575126.0,5.0,0.0,Passed,Included
ERR12511739,45.0,2707472.0,32.64,103126.0,243267.0,9.0,0.0,Passed,Included
ERR12511740,57.0,2897179.0,32.63,145619.0,293579.0,7.0,0.0,Passed,Included
ERR12511743,36.0,2835532.0,32.71,171313.0,542133.0,5.0,0.0,Passed,Included
ERR12511745,66.0,2869627.0,32.62,119955.0,264196.0,9.0,0.0,Passed,Included
ERR12511747,51.0,2798835.0,32.69,101635.0,300824.0,9.0,0.0,Passed,Included
ERR12511749,58.0,2725888.0,32.65,87982.0,212381.0,9.0,0.0,Passed,Included
ERR12511751,52.0,2885736.0,32.61,157491.0,409018.0,6.0,0.0,Passed,Included
ERR12511752,73.0,2845850.0,32.6,105888.0,220121.0,10.0,0.0,Passed,Included
ERR12511753,51.0,2713969.0,32.67,88014.0,307518.0,8.0,0.0,Passed,Included
ERR12511755,114.0,2921246.0,32.57,206256.0,361604.0,5.0,0.0,Passed,Included
