sample_id,country,sequence_type,quality_flag,original_st_assignment,clone_cluster_99_99ani,cluster_size,derep_representative,derep_status_alphabetical,organism,arc_c_allele,aro_e_allele,glp_f_allele,gmk_allele,pta_allele,tpi_allele,yqi_l_allele
ERR1764988,Kenya,1,Complete_profile,1,ANI99.99_cluster_09,4,ERR1764988,Retained,saureus,arcC(1),aroE(1),glpF(1),gmk(1),pta(1),tpi(1),yqiL(1)
ERR1764990,Kenya,1,Complete_profile,1,ANI99.99_cluster_09,4,ERR1764988,Excluded_in_sensitivity_only,saureus,arcC(1),aroE(1),glpF(1),gmk(1),pta(1),tpi(1),yqiL(1)
ERR1765049,Kenya,1,Complete_profile,1,ANI99.99_cluster_09,4,ERR1764988,Excluded_in_sensitivity_only,saureus,arcC(1),aroE(1),glpF(1),gmk(1),pta(1),tpi(1),yqiL(1)
ERR1765050,Kenya,1,Complete_profile,1,ANI99.99_cluster_09,4,ERR1764988,Excluded_in_sensitivity_only,saureus,arcC(1),aroE(1),glpF(1),gmk(1),pta(1),tpi(1),yqiL(1)
ERR1765052,Kenya,101,Complete_profile,101,Singleton,1,ERR1765052,Retained,saureus,arcC(3),aroE(1),glpF(14),gmk(15),pta(11),tpi(19),yqiL(3)
ERR1764893,Kenya,1290,Complete_profile,1290,Singleton,1,ERR1764893,Retained,saureus,arcC(1),aroE(4),glpF(1),gmk(1),pta(11),tpi(1),yqiL(3)
ERR1764955,Kenya,1290,Complete_profile,1290,ANI99.99_cluster_12,3,ERR1764939,Excluded_in_sensitivity_only,saureus,arcC(1),aroE(4),glpF(1),gmk(1),pta(11),tpi(1),yqiL(3)
ERR1764920,Kenya,140,Complete_profile,140,Singleton,1,ERR1764920,Retained,saureus,arcC(43),aroE(37),glpF(48),gmk(19),pta(49),tpi(26),yqiL(39)
ERR1764954,Kenya,15,Complete_profile,15,Singleton,1,ERR1764954,Retained,saureus,arcC(13),aroE(13),glpF(1),gmk(1),pta(12),tpi(11),yqiL(13)
ERR1765004,Kenya,15,Complete_profile,15,Singleton,1,ERR1765004,Retained,saureus,arcC(13),aroE(13),glpF(1),gmk(1),pta(12),tpi(11),yqiL(13)
ERR1764896,Kenya,152,Complete_profile,152,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR1764897,Kenya,152,Complete_profile,152,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR1764901,Kenya,152,Complete_profile,152,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
