sample_id,GENE,PRODUCT,RESISTANCE,country,%COVERAGE,%IDENTITY
ERR12511686,blaI_of_Z,penicillinase repressor BlaI,BETA-LACTAM,Tanzania,100.0,95.54
ERR12511686,blaR1,beta-lactam sensor/signal transducer BlaR1,BETA-LACTAM,Tanzania,100.0,93.0
ERR12511686,blaZ,penicillin-hydrolyzing class A beta-lactamase BlaZ,BETA-LACTAM,Tanzania,100.0,96.93
ERR12511686,dfrG,trimethoprim-resistant dihydrofolate reductase DfrG,TRIMETHOPRIM,Tanzania,100.0,100.0
ERR12511686,tet(38),tetracycline efflux MFS transporter Tet(38),TETRACYCLINE,Tanzania,100.0,100.0
ERR12511686,mecA,PBP2a family beta-lactam-resistant peptidoglycan transpeptidase MecA,METHICILLIN,Tanzania,100.0,100.0
ERR12511686,tet(K),tetracycline efflux MFS transporter Tet(K),TETRACYCLINE,Tanzania,100.0,99.56
ERR12511686,dfrC,trimethoprim-resistant dihydrofolate reductase DfrC,TRIMETHOPRIM,Tanzania,100.0,98.97
ERR12511686,aph(2'')-Ih,aminoglycoside O-phosphotransferase APH(2'')-Ih,AMIKACIN;GENTAMICIN;KANAMYCIN;TOBRAMYCIN,Tanzania,89.15,82.43
ERR12511686,fosB-Saur,FosB1/FosB3 family fosfomycin resistance bacillithiol transferase,FOSFOMYCIN,Tanzania,100.0,99.29
ERR12511687,tet(38),tetracycline efflux MFS transporter Tet(38),TETRACYCLINE,Tanzania,100.0,100.0
ERR12511687,dfrG,trimethoprim-resistant dihydrofolate reductase DfrG,TRIMETHOPRIM,Tanzania,100.0,100.0
ERR12511687,blaZ,penicillin-hydrolyzing class A beta-lactamase BlaZ,BETA-LACTAM,Tanzania,100.0,100.0
ERR12511687,blaR1,beta-lactam sensor/signal transducer BlaR1,BETA-LACTAM,Tanzania,100.0,97.27
ERR12511687,blaI_of_Z,penicillinase repressor BlaI,BETA-LACTAM,Tanzania,100.0,98.42
ERR12511688,fosB-Saur,FosB1/FosB3 family fosfomycin resistance bacillithiol transferase,FOSFOMYCIN,Tanzania,100.0,99.05
ERR12511688,dfrG,trimethoprim-resistant dihydrofolate reductase DfrG,TRIMETHOPRIM,Tanzania,100.0,100.0
ERR12511688,blaZ,penicillin-hydrolyzing class A beta-lactamase BlaZ,BETA-LACTAM,Tanzania,100.0,100.0
ERR12511688,blaR1,beta-lactam sensor/signal transducer BlaR1,BETA-LACTAM,Tanzania,100.0,97.27
ERR12511688,blaI_of_Z,penicillinase repressor BlaI,BETA-LACTAM,Tanzania,100.0,98.42
ERR12511688,tet(38),tetracycline efflux MFS transporter Tet(38),TETRACYCLINE,Tanzania,100.0,99.78
ERR12511688,tet(K),tetracycline efflux MFS transporter Tet(K),TETRACYCLINE,Tanzania,100.0,100.0
ERR12511689,tet(M),tetracycline resistance ribosomal protection protein Tet(M),TETRACYCLINE,Tanzania,100.0,100.0
ERR12511689,fosB-Saur,FosB1/FosB3 family fosfomycin resistance bacillithiol transferase,FOSFOMYCIN,Tanzania,100.0,99.29
ERR12511689,mecA,PBP2a family beta-lactam-resistant peptidoglycan transpeptidase MecA,METHICILLIN,Tanzania,100.0,100.0
ERR12511689,tet(K),tetracycline efflux MFS transporter Tet(K),TETRACYCLINE,Tanzania,100.0,99.56
ERR12511689,catA7,type A-7 chloramphenicol O-acetyltransferase,CHLORAMPHENICOL,Tanzania,100.0,98.46
ERR12511689,erm(C),23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C),MACROLIDE,Tanzania,100.0,99.86
ERR12511689,dfrC,trimethoprim-resistant dihydrofolate reductase DfrC,TRIMETHOPRIM,Tanzania,100.0,98.97
ERR12511689,blaZ,penicillin-hydrolyzing class A beta-lactamase BlaZ,BETA-LACTAM,Tanzania,100.0,96.93
ERR12511689,blaR1,beta-lactam sensor/signal transducer BlaR1,BETA-LACTAM,Tanzania,100.0,93.0
ERR12511689,blaI_of_Z,penicillinase repressor BlaI,BETA-LACTAM,Tanzania,100.0,95.54
ERR12511689,aph(2'')-Ih,aminoglycoside O-phosphotransferase APH(2'')-Ih,AMIKACIN;GENTAMICIN;KANAMYCIN;TOBRAMYCIN,Tanzania,89.15,82.43
ERR12511689,dfrG,trimethoprim-resistant dihydrofolate reductase DfrG,TRIMETHOPRIM,Tanzania,100.0,100.0
ERR12511691,dfrG,trimethoprim-resistant dihydrofolate reductase DfrG,TRIMETHOPRIM,Tanzania,100.0,100.0
ERR12511691,blaZ,penicillin-hydrolyzing class A beta-lactamase BlaZ,BETA-LACTAM,Tanzania,100.0,99.76
ERR12511691,blaR1,beta-lactam sensor/signal transducer BlaR1,BETA-LACTAM,Tanzania,100.0,97.27
ERR12511691,blaI_of_Z,penicillinase repressor BlaI,BETA-LACTAM,Tanzania,100.0,98.42
ERR12511691,tet(38),tetracycline efflux MFS transporter Tet(38),TETRACYCLINE,Tanzania,100.0,98.37
ERR12511691,tet(K),tetracycline efflux MFS transporter Tet(K),TETRACYCLINE,Tanzania,100.0,100.0
ERR12511691,erm(C),23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C),MACROLIDE,Tanzania,100.0,100.0
ERR12511692,dfrG,trimethoprim-resistant dihydrofolate reductase DfrG,TRIMETHOPRIM,Tanzania,100.0,100.0
ERR12511692,blaZ,penicillin-hydrolyzing class A beta-lactamase BlaZ,BETA-LACTAM,Tanzania,100.0,99.76
ERR12511692,blaR1,beta-lactam sensor/signal transducer BlaR1,BETA-LACTAM,Tanzania,100.0,97.27
ERR12511692,blaI_of_Z,penicillinase repressor BlaI,BETA-LACTAM,Tanzania,100.0,98.42
ERR12511692,erm(C),23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C),MACROLIDE,Tanzania,100.0,100.0
ERR12511692,tet(38),tetracycline efflux MFS transporter Tet(38),TETRACYCLINE,Tanzania,100.0,98.37
ERR12511693,tet(38),tetracycline efflux MFS transporter Tet(38),TETRACYCLINE,Tanzania,100.0,100.0
ERR12511693,blaI_of_Z,penicillinase repressor BlaI,BETA-LACTAM,Tanzania,100.0,98.42
ERR12511693,blaR1,beta-lactam sensor/signal transducer BlaR1,BETA-LACTAM,Tanzania,100.0,97.27
ERR12511693,blaZ,penicillin-hydrolyzing class A beta-lactamase BlaZ,BETA-LACTAM,Tanzania,100.0,100.0
ERR12511693,mecA,PBP2a family beta-lactam-resistant peptidoglycan transpeptidase MecA,METHICILLIN,Tanzania,100.0,100.0
ERR12511693,dfrC,trimethoprim-resistant dihydrofolate reductase DfrC,TRIMETHOPRIM,Tanzania,100.0,98.97
ERR12511694,tet(38),tetracycline efflux MFS transporter Tet(38),TETRACYCLINE,Tanzania,100.0,98.37
ERR12511694,blaI_of_Z,penicillinase repressor BlaI,BETA-LACTAM,Tanzania,100.0,98.42
ERR12511694,blaR1,beta-lactam sensor/signal transducer BlaR1,BETA-LACTAM,Tanzania,100.0,97.27
ERR12511694,blaZ,penicillin-hydrolyzing class A beta-lactamase BlaZ,BETA-LACTAM,Tanzania,100.0,99.76
ERR12511696,dfrG,trimethoprim-resistant dihydrofolate reductase DfrG,TRIMETHOPRIM,Tanzania,100.0,100.0
ERR12511696,tet(38),tetracycline efflux MFS transporter Tet(38),TETRACYCLINE,Tanzania,100.0,100.0
ERR12511696,mecA,PBP2a family beta-lactam-resistant peptidoglycan transpeptidase MecA,METHICILLIN,Tanzania,100.0,100.0
ERR12511696,erm(C),23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C),MACROLIDE,Tanzania,100.0,100.0
